[11/11/2024, 22:54:21] Ali Aidi: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[11/11/2024, 22:54:21] Ali Aidi: ‎Ali Aidi is a contact.
‎[11/11/2024, 22:52:55] Ali Aidi: ‎sticker omitted
‎[11/11/2024, 22:59:32] Youssef: ‎image omitted
‎[11/11/2024, 23:00:37] Ali Aidi: ‎image omitted
‎[12/11/2024, 09:14:42] Youssef: ‎image omitted
‎[12/11/2024, 12:14:07] Youssef: ‎image omitted
‎[12/11/2024, 12:14:07] Youssef: ‎image omitted
[12/11/2024, 13:16:32] Youssef: maliii tglas fchii 9hwaa
[12/11/2024, 13:16:34] Youssef: checkii dak email
[12/11/2024, 13:20:14] Ali Aidi: Okeey sar
[12/11/2024, 13:37:12] Youssef: ala molana
[12/11/2024, 13:37:15] Youssef: asate
‎[12/11/2024, 13:38:10] Ali Aidi: ‎image omitted
[12/11/2024, 13:38:34] Youssef: andik aliha
[12/11/2024, 13:38:35] Youssef: ?
[12/11/2024, 13:38:38] Youssef: saftha l issam
[12/11/2024, 13:38:45] Youssef: goliha
[12/11/2024, 13:45:36] Ali Aidi: Hhhh 3lach
[12/11/2024, 13:53:59] Youssef: elaaa floos ddar hhhh
[12/11/2024, 14:05:39] Ali Aidi: 😂😂😂😂
[12/11/2024, 14:05:48] Ali Aidi: Issam la nesbo 3likom f dar ayferbel
[12/11/2024, 14:11:00] Youssef: hhhhhh brb
[12/11/2024, 14:11:13] Youssef: hta yfrbal wlakain rajlk ayfra7 hit maradich yzid
[12/11/2024, 14:11:16] Youssef: y3ti flos ktaar
[12/11/2024, 14:11:17] Youssef: hhhhhhhhhhhhhhhhhhhhhhhhh
[12/11/2024, 14:12:00] Ali Aidi: Hhhhhhhhhhhhhhhhhhhhh
[12/11/2024, 14:12:07] Ali Aidi: Adiro romboursaaa
[12/11/2024, 14:12:36] Youssef: hhh ana mabit waloo asate
[12/11/2024, 14:37:14] Ali Aidi: Hhhhhhh bghitini ana
‎[12/11/2024, 14:37:17] Ali Aidi: ‎sticker omitted
[12/11/2024, 15:00:40] Youssef: Sir t7wa
[12/11/2024, 15:00:58] Ali Aidi: Amami khelfi ?
[12/11/2024, 15:01:16] Youssef: ntaa wlbiti
[12/11/2024, 15:01:37] Ali Aidi: Nafsi
‎[12/11/2024, 15:01:41] Ali Aidi: ‎sticker omitted
[12/11/2024, 15:02:26] Youssef: Khasni ndhak?!
[12/11/2024, 15:04:00] Ali Aidi: La sara7a dhekt ana
‎[12/11/2024, 15:04:03] Ali Aidi: ‎sticker omitted
[12/11/2024, 15:04:17] Youssef: Ansfto lbnat
[12/11/2024, 15:05:38] Ali Aidi: Sifto l ikran
[12/11/2024, 15:06:16] Youssef: https://www.instagram.com/reel/C_Gf10RA2i7/?igsh=MnUzZXZzZ2xxZjhn
[12/11/2024, 16:44:05] Ali Aidi: https://www.instagram.com/reel/DBRdRDuJYX9/?igsh=MWhhcnp0dzJqNWtlbg==
[12/11/2024, 16:50:11] Ali Aidi: https://www.instagram.com/reel/DBRxI2cShUl/?igsh=NGRqa3FhNTBtMjNy
[12/11/2024, 16:51:08] Ali Aidi: La la ghir blanat taybghiw ibuenouh haka 😂
